genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Pttg1,114,110,143,111,166,34,90,92,76,122
Slu7,236,192,343,233,286,71,103,105,153,104
C1qtnf2,13,0,8,0,0,3,0,0,0,0
Ccnjl,0,0,0,0,0,3,0,0,0,0
Gm12150,0,0,0,0,0,0,0,0,0,0
X4933415A04Rik,0,0,2,0,0,0,0,2,0,0
Fabp6,0,0,0,0,0,0,0,0,0,0
Pwwp2a,12,58,39,18,29,24,20,11,26,14
Ttc1,94,127,141,58,98,35,51,70,66,56
Adra1b,0,0,6,3,4,0,2,0,1,3
Gm12153,0,0,0,0,1,0,0,0,0,0
Gm12154,0,0,0,0,0,0,0,0,0,0
Il12b,0,0,0,0,0,0,0,0,0,0
Ublcp1,53,35,57,4,23,11,32,33,5,40
Rnf145,7,50,26,56,49,22,26,33,20,41
X4930597A21Rik,0,0,0,0,0,0,0,0,0,0
Ebf1,23,36,47,35,50,4,11,21,10,5
Gm12158,0,2,2,0,0,0,0,0,0,0
Gm12159,0,0,0,0,0,0,0,0,0,0
Gm12160,0,0,0,0,0,0,0,0,0,0
Gm12162,0,0,0,0,0,0,0,0,0,0
F630206G17Rik,0,0,0,0,0,0,0,0,0,0
Clint1,11,12,9,10,43,18,25,2,22,14
Lsm11,0,0,4,18,0,0,1,0,0,0
Thg1l,2,14,0,0,0,13,9,1,3,12
Sox30,0,0,0,0,0,0,0,0,0,1
Gm12166,3,9,9,17,10,2,5,8,5,15
Adam19,13,21,50,27,16,8,3,29,12,7
Gm16033,0,0,0,0,0,0,0,0,0,0
Gm16034,0,0,0,0,0,0,0,0,0,0
Nipal4,179,80,146,84,98,53,9,78,49,12
Cyfip2,57,66,118,41,76,71,40,18,34,59
Fndc9,0,0,0,0,0,0,0,0,0,0
Itk,0,0,0,0,0,0,0,0,0,3
Gm12167,0,0,0,0,0,0,0,0,0,0
Fam71b,0,0,0,0,0,0,0,0,0,0
Med7,38,91,41,37,85,32,53,58,34,65
Havcr2,26,162,112,64,76,94,181,65,44,128
Gm12169,0,0,0,0,0,0,0,0,0,0
Gm12171,0,0,0,0,0,0,0,0,0,0
BC053393,0,0,0,0,0,0,0,0,0,0
Dppa1,0,0,0,0,0,0,0,0,0,0
Gm4926,0,0,0,0,0,0,0,0,0,0
Timd2,0,0,0,0,0,0,0,0,0,0
Havcr1,0,0,0,0,0,0,0,0,0,0
Timd4,0,0,0,0,8,0,0,0,0,0
Sgcd,0,0,0,0,0,0,0,0,1,0
Rack1,84,53,113,56,71,33,77,65,65,92
Trim41,5,31,24,0,9,31,23,13,9,9
Gm12184,2,0,4,4,2,0,0,0,1,4
Trim7,0,0,4,8,7,0,1,8,12,0
Gm16170,0,1,0,0,0,0,1,3,0,3
Irgm1,10,57,35,36,45,9,19,42,31,49
Gm5431,0,2,0,2,0,7,16,8,0,2
