genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
AL139275.1,0,0,0,0,0,0,0,0,0,0
LRFN2,0,0,0,0,0,0,0,0,0,0
AL359475.1,0,0,0,0,0,0,0,0,0,0
AL033380.1,0,0,0,0,0,0,0,0,0,0
AL583854.1,0,0,0,0,0,0,0,0,0,0
UNC5CL,22,17,16,11,15,13,1,11,12,16
OARD1,891,1195,1320,952,878,908,772,925,1014,1063
TSPO2,0,0,1,1,0,0,0,1,1,6
APOBEC2,44,52,104,46,25,54,52,48,56,67
NFYA,1675,2594,1777,1855,1905,1808,1555,1445,1585,1751
AL031778.1,38,83,71,79,53,70,58,52,57,49
TREML1,599,702,825,477,501,673,505,584,642,753
TREM2,17874,25254,21614,20494,20178,18379,20885,15849,19424,19342
TREML2,9,0,0,1,1,10,0,0,1,2
TREML4,92,127,92,71,87,47,52,58,61,57
TREM1,1,0,0,9,0,15,16,8,17,8
NCR2,0,0,0,0,0,0,0,0,0,0
FOXP4.AS1,0,0,0,0,0,0,0,0,0,0
LINC01276,0,0,0,0,0,0,0,0,0,0
FOXP4,29,11,24,21,24,23,7,13,27,25
MDFI,0,0,0,0,0,0,0,0,0,0
TFEB,1422,1964,1578,1777,1478,1253,1106,988,1313,1404
AL035588.1,42,65,96,75,69,81,50,32,57,84
PGC,0,1,5,0,0,0,1,0,1,0
AL365205.4,1,0,1,0,1,0,0,0,0,0
FRS3,41,38,34,28,45,35,25,28,77,60
PRICKLE4,31,40,66,17,42,24,24,26,24,34
TOMM6,1287,1762,1598,1383,1068,1425,1294,971,1236,1225
USP49,71,140,181,105,78,114,42,88,121,106
AL365205.3,0,0,0,0,0,0,0,0,0,0
AL160163.1,0,0,0,3,2,0,0,1,2,2
MED20,770,818,731,747,822,732,677,588,635,628
BYSL,264,349,296,251,194,250,168,201,245,262
CCND3,106,149,146,213,155,161,116,88,137,121
AL513008.1,2,0,0,3,0,1,2,2,0,0
TAF8,883,1273,980,939,923,946,797,747,1007,893
AL512274.1,0,0,6,0,1,0,0,4,0,0
C6orf132,1,2,0,2,0,1,0,0,1,0
GUCA1A,0,0,0,0,0,0,0,0,0,0
AL096814.2,0,0,0,0,0,0,0,0,0,0
AL096814.1,0,0,0,0,0,0,0,0,0,0
GUCA1B,52,53,31,60,47,33,22,23,18,22
MRPS10,1668,1825,2042,1638,1444,1370,1484,1224,1634,1485
TRERF1,161,205,252,190,90,220,151,116,202,214
UBR2,3532,5666,4248,4946,3899,3961,3588,2972,3446,3452
PRPH2,2,1,4,0,0,0,0,0,0,0
TBCC,1360,1878,1950,1615,1447,1477,1091,1066,1441,1269
BICRAL,592,681,699,665,678,592,512,459,577,573
RPL7L1,2045,2822,2707,2213,1947,2004,1938,1634,1961,1887
C6orf226,119,148,139,109,90,96,97,124,117,96
AL035587.3,1,6,6,3,16,2,12,3,4,5
PTCRA,20,24,34,12,14,36,20,27,42,49
AL035587.2,110,166,179,131,118,112,111,107,149,151
CNPY3,13948,18847,17571,16263,15026,13555,15000,12207,14796,14303
AL035587.1,358,548,549,569,407,426,343,346,457,363
GNMT,36,72,61,58,88,46,34,47,73,35
PEX6,313,540,537,379,380,445,400,304,341,331
PPP2R5D,638,833,558,728,790,523,375,369,631,568
MEA1,948,1131,1187,876,895,949,973,699,924,914
KLHDC3,2417,3134,3094,2598,2486,2012,2094,1839,2106,2043
RRP36,156,203,219,213,142,137,128,124,188,165
AL136304.1,7,3,10,10,7,9,9,18,11,17
CUL7,1844,2773,2363,2169,1723,1717,1551,1624,2026,1964
KLC4,478,629,640,623,555,482,479,378,500,505
MRPL2,409,617,668,518,481,426,429,341,486,456
AL355385.1,0,6,2,8,1,3,1,2,1,5
PTK7,5,0,0,0,3,0,0,0,10,2
SRF,126,180,204,154,120,141,183,75,105,131
CUL9,2112,3196,3160,2546,2258,2311,2285,2095,2490,2255
AL133375.1,0,0,0,0,0,0,0,0,0,0
DNPH1,715,939,850,678,619,595,328,526,580,671
TTBK1,0,4,3,10,2,1,4,4,4,6
SLC22A7,1,0,1,0,0,0,0,0,0,0
CRIP3,49,39,45,62,30,42,10,22,49,38
ZNF318,436,524,492,596,448,518,394,266,280,487
AL359813.1,0,7,2,7,1,6,16,5,22,2
AL359813.2,0,0,1,0,0,0,0,1,0,0
ABCC10,1823,2908,2125,2583,2047,1879,1856,1467,2134,2065
DLK2,2,7,9,7,9,18,3,4,16,2
TJAP1,930,1399,1240,1149,1037,1076,962,726,1135,1044
LRRC73,2,3,0,0,1,0,0,0,0,0
POLR1C,1120,1333,1350,1079,1197,1159,900,865,1075,972
YIPF3,1929,2722,2451,2181,2092,1975,2358,1790,2031,2100
AL355802.3,0,5,2,2,5,3,7,1,3,1
XPO5,1628,2312,1921,2229,1385,1740,1347,1230,1556,1694
POLH,473,589,534,603,468,512,445,398,373,484
POLH.AS1,7,8,9,4,3,3,8,12,1,7
GTPBP2,590,872,771,866,685,714,578,471,570,799
MAD2L1BP,755,1040,969,839,680,663,735,532,592,697
RSPH9,28,51,65,46,35,41,30,30,39,36
MRPS18A,245,332,331,274,307,240,305,191,269,292
AL136131.2,0,0,0,0,0,0,0,0,0,0
VEGFA,70,38,45,41,46,22,26,24,22,44
AL136131.3,0,0,0,0,0,0,0,0,0,0
AL157371.2,0,0,0,0,0,0,0,0,0,0
LINC02537,0,0,0,0,0,0,0,0,0,0
AL157371.1,0,0,0,0,0,0,0,0,0,0
AL109615.3,0,0,1,7,7,1,0,2,4,2
C6orf223,0,0,0,0,0,0,0,0,0,0
AL109615.2,4,4,23,4,11,2,8,2,7,11
AL109615.4,161,229,283,207,142,287,172,114,195,191
MRPL14,775,1046,938,684,908,908,718,710,724,824
TMEM63B,385,458,488,401,378,442,364,324,402,420
CAPN11,14,50,29,25,43,4,28,27,36,24
MYMX,5,2,4,4,3,4,1,21,5,6
SLC29A1,8712,11897,10616,9359,9509,9081,8504,7721,9374,9245
HSP90AB1,17973,25604,22061,24663,21108,22601,20808,16402,22615,21712
SLC35B2,1355,1927,1164,1922,1721,1310,535,959,1474,1399
NFKBIE,149,228,248,239,206,216,161,145,194,216
TMEM151B,7,9,2,3,3,8,3,1,3,7
TCTE1,0,0,0,1,0,0,1,1,0,0
AARS2,890,1289,1139,1262,966,1074,879,794,1078,1060
SPATS1,0,0,0,3,1,0,0,0,1,1
CDC5L,2694,3889,3281,3427,3118,3232,2960,2532,3078,2970
AL136140.1,0,0,0,0,0,0,0,0,0,0
AL133334.1,0,0,5,0,1,2,2,6,1,1
SUPT3H,292,414,361,350,332,380,246,331,315,344
RUNX2,2026,2998,2895,2746,2103,2313,2394,1813,2324,2477
AL096865.1,43,61,49,44,65,56,45,34,47,52
RUNX2.AS1,0,4,5,1,6,10,1,4,1,9
CLIC5,0,0,0,0,0,0,0,0,0,0
AL035701.1,2,3,0,0,0,0,0,0,0,0
ENPP4,289,446,679,334,464,245,271,214,314,258
ENPP5,0,0,0,0,0,0,0,0,0,0
RCAN2,0,1,0,1,0,0,0,0,0,10
AL035670.1,0,0,0,0,0,0,0,0,0,0
CYP39A1,6,10,11,6,8,0,6,9,12,7
SLC25A27,113,202,90,147,137,101,144,137,147,178
AL591242.1,0,0,0,0,0,0,0,0,0,0
TDRD6,214,604,217,271,266,362,227,397,452,463
PLA2G7,994,2326,811,1244,1104,1412,610,1055,1906,1861
ANKRD66,5,5,7,0,3,7,22,5,17,24
AL161618.1,0,5,4,0,3,4,0,2,4,1
MEP1A,69,91,172,60,44,133,133,132,170,138
ADGRF5,1,3,5,0,4,2,4,0,3,11
AL096772.1,0,0,0,0,0,0,0,0,0,0
ADGRF1,0,1,0,0,0,1,0,1,0,2
TNFRSF21,3777,4927,2217,8493,5067,2410,977,2446,10151,5748
AL451166.1,0,7,0,0,0,0,0,0,0,0
AL355353.1,9,4,14,7,6,10,7,10,26,10
CD2AP,3593,5868,4460,5291,4613,4173,2993,2825,3940,3643
ADGRF2,0,0,0,0,0,0,0,2,0,0
ADGRF4,0,0,0,0,0,0,0,0,0,0
AL356421.2,0,0,0,0,0,0,0,0,0,0
OPN5,2,0,1,0,0,0,0,0,0,0
PTCHD4,0,10,0,0,0,7,4,0,0,12
AL353138.1,0,0,0,0,4,0,0,1,0,0
AL391538.1,0,0,0,0,0,0,0,0,0,0
MMUT,1870,2178,2417,1671,1382,1639,1499,1483,1942,1613
CENPQ,264,349,344,316,249,240,319,300,282,397
GLYATL3,0,0,0,0,0,0,0,0,0,0
C6orf141,0,1,0,0,0,0,0,0,0,0
RHAG,0,0,0,0,0,0,0,0,0,0
CRISP2,0,0,0,0,0,0,0,0,0,0
AL121974.1,0,0,0,0,0,0,0,0,0,0
CRISP3,0,0,0,0,0,0,0,0,0,0
PGK2,0,0,0,0,0,0,0,0,0,0
AL359458.1,0,0,0,0,0,0,0,0,0,0
CRISP1,0,0,0,0,0,0,0,0,0,0
DEFB133,0,0,0,0,0,0,0,0,0,0
DEFB114,0,0,0,0,0,0,0,0,0,0
DEFB113,0,0,0,0,0,0,0,0,0,0
DEFB110,0,0,0,0,0,0,0,0,0,0
DEFB112,0,0,0,0,0,0,0,0,0,0
AL138826.1,0,0,0,0,0,0,0,0,1,0
AL132799.1,0,0,0,0,0,0,0,0,0,0
AL360175.1,0,0,0,0,0,0,0,0,0,0
AL135908.1,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0
TFAP2B,0,0,0,0,0,0,0,0,0,0
AL355997.1,0,0,0,0,0,0,0,0,0,0
PKHD1,0,0,0,0,0,0,0,0,0,0
LINCMD1,0,0,0,0,0,0,0,0,0,0
IL17A,0,0,0,0,0,0,0,0,0,0
IL17F,0,0,0,0,0,0,0,0,0,0
MCM3,3009,4118,3361,2979,2698,2740,2812,2428,3132,2498
PAQR8,1594,2184,1659,2829,1864,1474,1502,1283,2472,2017
EFHC1,743,1131,1302,937,1062,1046,769,715,953,964
TRAM2,269,489,304,353,258,382,270,224,278,222
TRAM2.AS1,51,93,178,95,69,76,38,45,127,91
TMEM14A,392,517,541,423,471,386,450,359,500,453
GSTA2,0,0,0,0,0,0,0,0,0,0
GSTA1,0,0,0,0,0,0,0,0,0,0
GSTA5,0,0,0,0,0,0,0,0,0,0
GSTA3,0,0,0,0,0,0,0,0,0,0
GSTA4,516,632,726,401,387,437,557,498,655,552
ICK,723,1361,1182,1008,914,624,737,889,809,949
FBXO9,3254,4886,2565,4600,3621,3270,875,2759,4031,3663
AL512347.1,0,0,0,0,0,0,0,0,0,0
GCM1,0,0,1,3,0,0,0,0,0,0
ELOVL5,4277,5633,5953,4686,4587,4719,4472,4079,4795,4409
AL034374.1,5,8,3,2,0,0,3,0,5,11
GCLC,982,987,940,1148,1115,863,754,629,921,1106
AL033397.2,18,8,23,21,32,18,16,12,7,21
AL033397.1,0,0,0,0,0,0,0,0,0,0
LINC01564,0,0,0,0,0,0,1,0,0,0
KLHL31,40,84,3,31,19,17,20,65,9,19
AL590652.1,12,24,26,36,19,18,12,17,23,18
LRRC1,85,179,102,205,210,134,72,74,204,176
AL033384.2,1,0,0,1,2,4,0,2,1,0
MLIP,0,0,0,0,0,0,0,0,0,0
AL033384.1,0,0,0,0,0,0,0,0,0,0
MLIP.AS1,0,0,0,0,0,0,0,0,0,0
MLIP.IT1,0,0,0,0,0,0,0,0,0,0
AL359380.1,0,0,0,0,0,0,0,0,0,0
TINAG,0,0,0,0,0,0,0,0,0,0
AL589946.1,0,0,0,0,0,0,0,0,0,0
AL512363.1,0,0,0,0,0,0,0,0,0,0
FAM83B,0,0,0,0,0,1,7,0,0,0
AL049555.1,0,0,0,0,0,0,0,0,0,0
HCRTR2,0,0,1,0,0,0,0,0,0,0
GFRAL,0,0,0,0,0,0,0,0,0,0
HMGCLL1,0,0,2,0,0,0,0,0,0,0
BMP5,0,0,0,0,0,0,0,0,0,0
COL21A1,0,0,0,0,0,0,0,0,0,0
AL031779.1,0,0,0,0,0,0,0,0,0,0
DST,6134,8414,7665,5918,6144,5668,5385,5184,6621,6529
AL512422.1,0,0,0,0,0,0,0,0,0,0
BEND6,13,27,1,1,3,9,5,15,4,4
KIAA1586,1018,1411,1057,1216,1397,1149,1078,861,1080,1295
ZNF451,3481,5706,5111,4368,3897,3933,3711,3211,3600,3806
ZNF451.AS1,101,126,112,92,88,84,102,65,90,102
BAG2,280,612,294,630,416,360,443,280,391,424
RAB23,34,36,8,49,54,5,16,14,20,16
PRIM2,284,441,389,413,272,360,282,244,364,362
FO680682.1,3,0,0,1,1,1,0,3,0,2
AL021368.3,8,11,6,1,1,3,2,6,14,5
AL021368.5,4,0,1,2,1,3,0,4,2,4
AL021368.1,5,4,22,10,5,11,11,6,1,19
AL021368.2,150,154,225,101,115,104,139,205,217,181
AL445250.1,0,0,0,0,0,1,3,0,0,0
AL590227.1,0,0,0,0,0,0,0,0,0,0
AL512427.2,0,0,0,0,0,0,0,0,0,0
KHDRBS2.OT,0,0,0,0,0,0,0,0,0,0
KHDRBS2,3,11,0,0,0,0,0,0,0,0
AL355347.1,0,0,1,0,0,1,0,0,0,0
FKBP1C,20,32,27,31,21,23,23,15,13,22
LGSN,0,1,0,0,0,0,0,6,4,0
PTP4A1,0,1,0,0,2,0,1,0,0,2
AL135905.1,17,14,3,21,25,10,30,28,45,22
AL135905.2,18,48,6,37,38,25,4,18,74,42
PHF3,3964,4999,3693,5313,4714,3314,3207,3359,4963,4365
EYS,64,119,157,96,82,82,58,51,64,88
SCAT8,0,0,0,0,0,0,0,0,0,0
AL357375.1,0,0,0,0,0,0,0,0,0,0
AL713998.1,0,0,0,0,0,0,0,0,0,0
AL713998.3,0,0,0,0,0,0,0,0,0,0
AL713998.4,0,0,0,0,0,0,0,0,0,0
AL646090.2,0,0,0,0,0,0,0,0,0,0
AL646090.1,0,0,0,0,0,0,0,0,0,0
AL593844.1,0,0,0,0,0,0,0,0,0,0
LINC02549,0,0,0,0,0,0,0,0,0,0
AL606923.2,0,0,0,0,0,0,0,0,0,0
AL391807.1,1,0,0,9,0,0,0,3,0,0
ADGRB3,14,0,14,0,17,40,0,1,0,0
LMBRD1,6781,8700,8046,6568,6409,5858,6151,5705,6343,6194
COL19A1,0,0,0,0,0,0,0,0,0,0
COL9A1,2,18,0,3,0,0,0,1,0,0
AL160262.1,0,0,0,0,0,0,0,0,0,0
AL080275.1,18,8,49,1,14,10,2,8,1,4
AL365226.2,13,4,6,0,0,1,7,1,0,2
AL365226.1,1,1,2,1,0,1,3,1,6,7
FAM135A,3574,5346,4769,3596,3399,3808,3022,2838,4002,4097
SDHAF4,337,404,424,366,382,270,192,257,326,348
AL583856.2,13,13,19,8,14,4,8,12,18,4
SMAP1,424,520,268,644,520,359,134,217,695,476
B3GAT2,179,297,226,338,282,255,254,226,156,332
AL096709.1,0,0,0,0,0,0,0,0,0,0
AL589935.1,116,143,105,115,80,115,73,81,89,126
AL589935.3,0,0,0,0,0,0,0,0,0,0
OGFRL1,5007,6840,6461,5628,4795,4907,4201,3910,4473,5415
AL136164.1,0,2,1,0,0,5,0,1,0,0
LINC00472,188,184,179,276,169,285,162,148,188,205
LINC01626,0,0,0,0,0,0,0,0,0,0
AL035467.2,0,0,0,0,0,0,0,0,0,0
RIMS1,0,0,1,0,0,0,0,0,0,0
FO393414.3,0,0,0,0,0,0,0,0,0,0
KCNQ5,18,65,66,106,42,112,35,66,106,75
KCNQ5.IT1,0,3,3,0,2,0,1,3,0,2
KCNQ5.AS1,5,3,24,13,8,18,10,16,45,5
KHDC1L,0,0,1,0,0,0,0,0,0,0
KHDC1,11,19,32,14,26,15,25,15,27,13
AC019205.1,72,121,83,97,79,47,59,73,91,78
DPPA5,0,0,0,0,0,0,0,0,0,0
KHDC3L,0,0,0,0,0,0,0,1,0,0
OOEP,0,2,1,0,0,0,0,0,0,0
OOEP.AS1,0,0,0,0,0,0,0,1,0,0
DDX43,9,7,17,13,8,9,11,18,3,6
CGAS,1248,1691,646,2673,2019,1181,373,632,1916,1288
MTO1,1834,2277,1982,2200,1901,1895,1650,1456,1609,1900
AL603910.1,7,13,8,13,7,8,7,5,7,6
EEF1A1,17038,22092,25927,16473,14301,14877,17013,12579,17072,17118
AL121972.1,0,4,1,2,2,1,0,0,1,1
SLC17A5,3238,4345,4194,3951,3601,2834,2720,2955,3291,3406
AL590428.1,0,0,0,0,0,0,0,0,0,0
CD109,3,0,0,6,0,0,8,6,1,0
AL357507.1,0,0,0,0,0,0,0,0,0,0
AL356277.3,0,0,0,0,0,0,0,0,0,0
AL356277.2,0,0,0,0,0,0,0,0,0,0
COL12A1,0,0,0,0,0,0,1,0,0,0
COX7A2,1936,2286,2103,1753,1632,1709,1712,1215,1558,1717
TMEM30A,10572,14638,6864,15903,13008,8497,2917,7280,14496,10969
AL080250.1,33,68,56,50,14,58,19,64,57,54
FILIP1,13,12,15,29,2,4,2,18,16,10
AL445465.1,0,0,0,0,2,0,0,0,1,0
AL445465.2,0,0,0,0,0,0,0,0,2,0
SENP6,2441,3412,3366,4021,3036,2825,2541,2648,3906,3493
MYO6,809,1220,1345,1053,1067,1277,775,892,1589,1472
IMPG1,0,3,0,0,0,0,0,0,0,2
LINC02540,0,0,0,1,0,0,0,0,0,0
AL591030.1,0,0,0,0,0,0,0,0,0,0
AL355612.1,1,0,10,2,6,7,4,0,3,2
HTR1B,0,0,0,0,0,0,0,0,0,0
MEI4,24,4,50,13,7,2,1,39,54,6
AL121718.1,0,0,0,0,0,0,0,0,0,0
AL450327.1,0,0,0,0,0,0,0,0,0,0
IRAK1BP1,33,144,81,91,46,77,94,72,56,65
PHIP,7130,9855,8603,8555,7957,7939,7854,6135,7246,8467
AL356776.2,7,0,25,20,20,15,0,1,1,7
HMGN3,2654,3716,3918,3100,2743,2815,2662,2084,2820,3027
HMGN3.AS1,93,86,111,141,94,118,40,73,133,70
LCAL1,0,0,0,0,0,0,0,0,0,0
AL391840.1,0,0,0,0,0,0,0,0,0,0
LCA5,61,90,26,95,37,30,36,26,58,70
AL391840.3,1,0,16,0,8,0,1,4,3,8
AL451064.1,1,2,5,1,0,3,8,4,0,15
SH3BGRL2,0,0,0,10,0,0,12,0,0,5
LINC01621,0,0,0,0,0,0,0,0,0,0
AL132875.3,0,0,0,0,0,0,0,0,0,0
AL132875.2,0,0,0,0,0,0,0,0,0,0
ELOVL4,0,0,0,0,0,0,0,0,0,0
AL133475.1,0,0,0,0,0,0,0,0,0,0
TTK,189,359,261,189,158,205,246,139,225,124
AL591135.2,2,0,0,0,0,0,0,0,0,0
BCKDHB,917,1063,945,947,874,920,614,745,1027,955
AL359715.3,24,35,5,31,22,36,33,18,33,40
AL359715.1,129,64,170,72,53,63,44,51,57,76
AL359715.2,39,21,50,15,44,12,8,19,7,51
TENT5A,2855,4022,3450,3926,2539,2843,1640,2323,3231,2848
AL122017.1,3,0,0,0,1,11,0,3,0,6
AL359693.1,0,0,11,11,1,11,8,0,0,8
AL078599.2,0,0,0,1,1,2,0,0,0,1
LINC01526,0,6,4,2,2,0,0,2,13,5
LINC02542,46,58,65,15,7,56,63,51,60,22
AL360157.1,1,0,0,0,0,0,0,0,0,0
IBTK,3243,3870,4154,3663,3100,3138,3405,2760,2684,3079
AL121977.2,0,0,0,0,0,0,0,0,0,0
TPBG,0,0,0,0,0,2,0,0,1,1
UBE3D,469,809,600,652,442,724,370,425,520,759
AL355613.1,1,1,2,0,3,1,0,1,2,1
DOP1A,1589,2637,2096,2143,1915,1987,1741,1481,1598,1815
PGM3,1386,1848,1654,1530,1304,1221,1302,1063,1282,1464
RWDD2A,551,717,881,558,641,539,471,460,570,634
ME1,1,1,1,0,9,0,12,0,11,5
PRSS35,0,0,0,0,0,0,0,0,0,0
SNAP91,0,0,0,0,0,0,0,0,0,1
AL136972.1,0,0,0,0,0,0,0,0,0,0
AL139232.1,0,0,0,0,0,0,0,0,0,0
RIPPLY2,0,0,0,0,0,0,0,0,0,0
CYB5R4,2488,2937,3245,2625,2299,2322,2320,2098,2707,2620
AL034347.1,1,2,0,0,0,1,1,0,3,4
LINC02857,0,0,0,0,0,0,0,0,0,0
MRAP2,0,0,0,0,0,0,0,0,4,0
CEP162,601,1107,837,967,569,785,677,571,796,772
LINC01611,0,0,0,0,0,0,0,0,0,0
TBX18,457,684,624,478,644,519,347,264,473,611
TBX18.AS1,11,9,9,20,8,10,4,7,5,14
AL035694.1,0,0,0,0,0,0,0,0,0,0
LINC02535,0,0,0,0,0,0,0,0,0,0
NT5E,0,2,0,4,0,4,0,1,3,0
SNX14,7006,9396,9001,8278,7480,6644,5890,6183,7512,6859
SYNCRIP,3563,4736,4399,3875,3817,3637,3476,3000,3555,3551
SNHG5,1041,1498,1608,1377,1088,1231,1065,1040,1319,1212
AL450338.2,0,0,0,0,0,0,0,0,0,0
HTR1E,0,0,0,0,0,0,0,0,0,0
CGA,0,0,0,0,0,0,0,0,0,1
AL139274.2,70,94,20,74,83,95,43,66,81,71
ZNF292,5412,7743,7737,6311,6989,5415,5569,4994,6012,6420
GJB7,76,124,108,98,67,34,53,73,69,43
SMIM8,407,631,674,443,458,455,466,323,482,512
C6orf163,67,90,96,73,63,56,68,67,78,131
CFAP206,0,1,8,0,0,0,0,0,1,0
SLC35A1,2018,3013,2875,2500,2064,1966,2391,1620,2027,2112
RARS2,1326,1911,1643,1557,1089,1371,1312,1226,1442,1459
ORC3,1747,2017,2102,1681,1514,1584,1578,1368,1905,1524
AKIRIN2,641,1246,442,1701,1073,728,382,431,1744,1141
AL136096.1,0,0,0,0,0,0,0,0,0,0
SPACA1,0,0,0,0,0,0,0,0,0,0
CNR1,0,0,0,0,0,0,0,0,0,0
AL139042.1,0,0,0,0,0,0,0,0,0,0
AL139090.1,0,0,0,0,0,0,0,0,0,0
RNGTT,854,1280,1071,1280,872,900,1054,942,1023,1213
AL353135.1,1,1,0,2,5,0,2,1,6,4
PNRC1,1304,1871,1526,2332,1972,1633,1771,1502,1860,2411
SRSF12,148,172,226,152,59,157,88,48,48,100
AL353135.2,3,20,1,14,3,8,10,7,6,10
PM20D2,256,302,240,302,226,230,249,196,192,236
GABRR1,0,0,0,1,0,0,0,0,0,0
GABRR2,8,13,29,42,8,15,23,26,44,18
UBE2J1,563,982,712,1024,688,1154,529,544,1444,1184
RRAGD,80,204,140,131,64,112,106,100,96,143
ANKRD6,46,110,77,48,29,76,73,59,82,45
AL159174.1,0,3,0,0,0,0,0,0,0,0
LYRM2,1006,1444,1621,1144,1106,1005,939,1079,1063,1130
MDN1,1692,2601,1826,1840,1673,1926,1865,1289,1940,1932
AL096678.1,0,1,9,0,2,4,0,3,3,1
CASP8AP2,2433,3134,2671,2325,2423,2378,1847,1842,2228,2527
GJA10,0,0,0,0,0,0,0,0,0,0
BACH2,5,0,13,0,9,9,3,10,10,8
AL121787.1,0,0,0,0,1,0,0,0,0,0
AL158136.1,2,0,0,0,0,0,0,0,0,2
AL132996.1,1,0,0,0,0,0,0,0,10,0
MAP3K7,2475,3153,3146,3151,2928,2650,2224,2324,2602,2914
AL080284.1,0,0,0,0,0,0,0,0,0,0
CASC6,0,0,0,0,0,0,0,0,0,0
AL590814.1,0,0,0,0,0,0,0,0,0,0
AL133457.1,0,0,0,0,0,0,0,0,0,0
AL359987.1,3,0,0,0,0,5,0,1,1,1
LINC02531,0,0,0,1,0,0,0,0,2,1
AL138731.1,0,0,0,0,0,0,0,0,0,0
EPHA7,0,0,0,0,0,0,0,0,0,0
AL591519.1,0,0,0,0,0,0,0,0,0,0
AL356094.2,0,0,0,0,0,0,0,0,0,0
AL391336.1,0,0,0,0,0,0,0,0,0,0
AL157378.1,0,0,0,0,0,0,0,0,0,0
MANEA.DT,154,134,183,166,78,104,120,92,87,140
MANEA,1944,2633,2423,1801,1879,1589,2014,1724,1903,1724
AL034348.1,0,0,0,0,0,0,0,0,0,0
FUT9,1,0,0,0,0,0,0,0,0,0
UFL1.AS1,3,1,12,10,1,4,2,2,0,2
UFL1,4320,5790,5857,4717,4424,4086,4386,4206,4933,5086
FHL5,0,0,0,0,0,0,0,0,0,0
AL033379.1,0,0,0,0,0,0,0,0,0,0
GPR63,0,0,13,2,1,0,13,0,8,0
NDUFAF4,777,1108,866,772,770,793,700,608,849,730
KLHL32,7,20,32,27,33,14,1,46,14,41
MMS22L,655,912,792,778,778,755,775,713,925,844
AL589740.1,1,2,2,11,0,2,3,0,1,2
AL080316.1,0,0,0,0,0,0,0,0,0,0
AL590727.1,0,0,0,0,0,0,0,0,0,0
AL589826.2,0,0,0,0,0,0,0,0,0,0
POU3F2,0,0,0,0,0,0,1,0,0,0
FBXL4,1589,2288,1549,1580,1710,1545,1385,1378,1550,1565
FAXC,0,0,0,0,0,0,0,0,0,1
COQ3,123,137,90,133,79,90,117,111,134,80
PNISR,16786,24885,22069,21190,18150,19160,17606,15632,18199,21207
AL513550.1,142,171,181,143,81,132,120,85,147,110
USP45,561,643,887,711,718,598,607,581,762,719
TSTD3,245,327,270,291,227,280,231,241,277,275
CCNC,1988,2914,2443,2484,1982,2178,1948,1711,1934,1939
PRDM13,0,0,0,0,0,0,0,0,0,0
MCHR2,0,0,0,0,0,0,0,0,0,0
MCHR2.AS1,0,0,0,0,0,0,0,0,0,0
SIM1,0,0,0,0,0,0,0,0,0,0
Z86062.2,0,0,0,0,0,0,0,0,0,0
ASCC3,2844,4540,4084,3427,3006,3816,3765,2793,3526,3800
AL133338.1,55,32,80,44,64,78,55,41,55,35
GRIK2,4,3,0,20,0,0,0,0,2,2
AP002528.1,0,0,0,0,0,0,0,0,0,0
AL357139.2,0,0,0,0,0,0,0,0,0,0
AL590608.1,0,0,2,3,0,0,0,2,2,0
AL357522.1,299,529,515,304,277,480,285,454,612,575
HACE1,1109,1777,731,1034,1159,1234,660,970,1442,1432
AL357315.1,6,8,7,6,14,7,5,5,5,8
LIN28B.AS1,11,5,4,6,4,0,1,6,7,2
LIN28B,41,34,4,34,14,20,51,67,37,45
BVES,931,1119,787,1713,1267,774,495,576,1374,920
BVES.AS1,153,232,274,188,145,203,212,156,169,163
POPDC3,13,13,36,22,22,35,15,9,23,22
PREP,218,194,348,290,236,275,242,139,296,272
AL133406.2,7,19,9,9,27,19,10,2,10,19
AL096794.1,0,0,1,0,14,0,0,1,0,0
LINC02836,0,0,0,0,4,5,0,0,0,1
AL591518.1,10,10,15,25,11,32,11,22,26,17
PRDM1,4397,5012,3897,5496,4520,2557,2311,2973,3663,3958
ATG5,1898,2665,2365,2417,2107,2140,2014,1595,2420,2238
AL022067.1,23,30,8,43,77,10,21,19,15,42
AL356859.1,0,0,0,0,0,0,0,0,0,0
CRYBG1,74,130,133,89,18,97,33,55,92,102
AL109920.1,0,0,0,0,0,0,0,0,0,0
RTN4IP1,229,368,354,295,273,315,225,260,380,297
QRSL1,1278,1910,1651,1768,1372,1432,1270,1304,1636,1566
LINC02526,0,0,0,0,0,0,0,0,0,3
LINC02532,1,0,0,0,0,0,0,1,0,0
CD24,0,0,0,0,0,0,0,0,0,0
MTRES1,489,667,595,439,505,420,516,424,547,521
BEND3,30,49,32,24,23,48,60,24,61,43
PDSS2,740,890,978,881,654,784,639,607,703,745
SOBP,0,10,5,3,6,0,0,0,5,16
AL121957.1,0,1,3,0,1,1,0,0,0,1
SCML4,8,2,1,4,2,0,0,0,0,4
SEC63,4340,5157,5197,4505,4940,3897,3594,3716,4071,4208
AL024507.2,12,14,6,7,2,0,6,6,7,4
Z98200.1,22,53,12,50,27,22,20,35,46,16
OSTM1,3192,4922,2130,7022,4508,2808,1246,1957,5997,4058
OSTM1.AS1,0,0,0,0,0,0,0,0,0,0
NR2E1,0,0,0,0,0,0,0,0,0,0
